initial_condition, time, x, y, z
0, 32.560543, -0.4299286, 0.8843183, 21.102247
0, 32.57054, -0.30660906, 0.8493726, 20.54375
0, 32.58054, -0.19800176, 0.8216604, 20.00102
0, 32.590538, -0.1020127, 0.80127794, 19.473452
0, 32.600536, -0.016742822, 0.78822935, 18.9605
0, 32.610535, 0.059523724, 0.7824646, 18.46168
0, 32.620533, 0.12833337, 0.78390986, 17.976545
0, 32.63053, 0.19107823, 0.79249156, 17.504694
0, 32.64053, 0.24901174, 0.808156, 17.045755
0, 32.650528, 0.30326453, 0.83088446, 16.59939
0, 32.660526, 0.35486004, 0.8607051, 16.165283
0, 32.670525, 0.4047297, 0.8977027, 15.74315
0, 32.680523, 0.45372736, 0.94202685, 15.3327265
0, 32.69052, 0.50264335, 0.9938983, 14.933775
0, 32.70052, 0.5522174, 1.0536149, 14.546083
0, 32.710518, 0.60315126, 1.1215571, 14.169466
0, 32.720516, 0.6561202, 1.1981934, 13.803766
0, 32.730515, 0.71178424, 1.2840856, 13.44886
0, 32.740513, 0.770799, 1.3798949, 13.104661
0, 32.75051, 0.83382547, 1.486388, 12.771122
0, 32.76051, 0.9015403, 1.6044444, 12.448246
0, 32.770508, 0.974645, 1.735064, 12.136091
0, 32.780506, 1.0538759, 1.8793755, 11.834782
0, 32.790504, 1.140013, 2.0386455, 11.544518
0, 32.800503, 1.2338898, 2.2142892, 11.265594
0, 32.8105, 1.3364029, 2.40788, 10.998409
0, 32.8205, 1.4485211, 2.6211615, 10.743498
0, 32.830498, 1.5712959, 2.8560574, 10.501546
0, 32.840496, 1.7058706, 3.1146832, 10.273426
0, 32.850494, 1.8534912, 3.399355, 10.060233
0, 32.860493, 2.015515, 3.7125967, 9.86333
0, 32.87049, 2.1934211, 4.057145, 9.684399
0, 32.88049, 2.3888183, 4.4359474, 9.525504
0, 32.890488, 2.6034522, 4.8521523, 9.389168
0, 32.900486, 2.8392115, 5.30909, 9.278457
0, 32.910484, 3.0981293, 5.810237, 9.197085
0, 32.920483, 3.3823807, 6.359158, 9.149536
0, 32.93048, 3.6942747, 6.9594216, 9.141191
0, 32.94048, 4.0362344, 7.6144757, 9.178481
0, 32.950478, 4.410769, 8.327475, 9.269054
0, 32.960476, 4.8204246, 9.101041, 9.421938
0, 32.970474, 5.267717, 9.936948, 9.647704
0, 32.980473, 5.7550335, 10.835704, 9.95861
0, 32.99047, 6.2845006, 11.796016, 10.368688
0, 33.00047, 6.8578053, 12.81412, 10.893743
0, 33.010468, 7.4759645, 13.882975, 11.551205
0, 33.020466, 8.139031, 14.991307, 12.359756
0, 33.030464, 8.845736, 16.122572, 13.33865
0, 33.040462, 9.593053, 17.253868, 14.506601
0, 33.05046, 10.375721, 18.354979, 15.880172
0, 33.06046, 11.18572, 19.387722, 17.47154
0, 33.070457, 12.011772, 20.30592, 19.285688
0, 33.080456, 12.838921, 21.056349, 21.317095
0, 33.090454, 13.648316, 21.581041, 23.546286
0, 33.100452, 14.417312, 21.82124, 25.936773
0, 33.11045, 15.120006, 21.723064, 28.433205
0, 33.12045, 15.728352, 21.24452, 30.961626
0, 33.130447, 16.213854, 20.362936, 33.432686
0, 33.140446, 16.549774, 19.081429, 35.748146
0, 33.150444, 16.713634, 17.432693, 37.810284
0, 33.160442, 16.68964, 15.478682, 39.532818
0, 33.17044, 16.470625, 13.305527, 40.851257
0, 33.18044, 16.05911, 11.0143175, 41.7304
0, 33.190437, 15.467254, 8.70949, 42.167263
0, 33.200436, 14.715679, 6.487268, 42.188942
0, 33.210434, 13.831425, 4.42647, 41.846226
0, 33.220432, 12.845378, 2.5831218, 41.20476
0, 33.23043, 11.789651, 0.9891896, 40.335835
0, 33.24043, 10.695254, -0.34526637, 39.308495
0, 33.250427, 9.590315, -1.4277703, 38.184
0, 33.260426, 8.498927, -2.2782562, 37.012753
0, 33.270424, 7.4405985, -2.9240873, 35.833458
0, 33.280422, 6.4301887, -3.3958983, 34.67378
0, 33.29042, 5.4781995, -3.724513, 33.551914
0, 33.30042, 4.591276, -3.9389112, 32.47855
0, 33.310417, 3.7728128, -4.065075, 31.458754
0, 33.320415, 3.023575, -4.125492, 30.493689
0, 33.330414, 2.3422883, -4.1390996, 29.581982
0, 33.340412, 1.7261608, -4.1214976, 28.720772
0, 33.35041, 1.1713295, -4.085304, 27.90647
0, 33.36041, 0.6732258, -4.040563, 27.13527
0, 33.370407, 0.22686778, -3.9951577, 26.40348
0, 33.380405, -0.1729136, -3.9551911, 25.707714
0, 33.390404, -0.53130406, -3.9253294, 25.044987
0, 33.400402, -0.85338265, -3.909097, 24.41275
0, 33.4104, -1.1440355, -3.9091258, 23.808897
0, 33.4204, -1.4078995, -3.9273653, 23.231728
0, 33.430397, -1.64933, -3.9652538, 22.679924
0, 33.440395, -1.8723859, -4.0238585, 22.15251
0, 33.450394, -2.0808277, -4.103989, 21.64882
0, 33.460392, -2.278127, -4.2062874, 21.168472
0, 33.47039, -2.4674802, -4.331297, 20.711344
0, 33.48039, -2.6518292, -4.4795184, 20.277557
0, 33.490387, -2.8338833, -4.651447, 19.867477
0, 33.500385, -3.0161414, -4.847601, 19.481699
0, 33.510384, -3.200916, -5.0685363, 19.121065
0, 33.520382, -3.3903549, -5.314852, 18.786669
0, 33.53038, -3.5864596, -5.5871873, 18.47987
0, 33.54038, -3.791104, -5.8862033, 18.202316
0, 33.550377, -4.006047, -6.2125616, 17.955969
0, 33.560375, -4.23294, -6.5668874, 17.743126
0, 33.570374, -4.4733357, -6.949719, 17.566446
0, 33.58037, -4.7286816, -7.3614473, 17.428986
0, 33.59037, -5.0003147, -7.8022375, 17.334211
0, 33.60037, -5.2894464, -8.271932, 17.286026
0, 33.610367, -5.597137, -8.769935, 17.288774
0, 33.620365, -5.924263, -9.295076, 17.347237
0, 33.630363, -6.271472, -9.845455, 17.466593
0, 33.64036, -6.6391263, -10.418258, 17.652369
0, 33.65036, -7.027234, -11.0095625, 17.910326
0, 33.66036, -7.4353676, -11.61413, 18.24631
0, 33.670357, -7.862569, -12.225196, 18.666025
0, 33.680355, -8.307245, -12.834274, 19.17474
0, 33.690353, -8.767059, -13.431005, 19.776894
0, 33.70035, -9.238815, -14.003067, 20.475626
0, 33.71035, -9.718353, -14.536205, 21.272213
0, 33.72035, -10.200468, -15.0144, 22.16544
0, 33.730347, -10.678851, -15.4202385, 23.15094
0, 33.740345, -11.146095, -15.735521, 24.220573
0, 33.750343, -11.593761, -15.942114, 25.361902
0, 33.76034, -12.012534, -16.023052, 26.557888
0, 33.77034, -12.392479, -15.963838, 27.7869
0, 33.78034, -12.723403, -15.753829, 29.023136
0, 33.790337, -12.995313, -15.387583, 30.23753
0, 33.800335, -13.198943, -14.865955, 31.399115
0, 33.810333, -13.326328, -14.196779, 32.476803
0, 33.82033, -13.371348, -13.394943, 33.4414
0, 33.83033, -13.330204, -12.481799, 34.26761
0, 33.84033, -13.201752, -11.483895, 34.935802
0, 33.850327, -12.987663, -10.431176, 35.43328
0, 33.860325, -12.692381, -9.354863, 35.754856
0, 33.870323, -12.322868, -8.285299, 35.90273
0, 33.88032, -11.888193, -7.250026, 35.885685
0, 33.89032, -11.398983, -6.2723017, 35.717796
0, 33.90032, -10.86682, -5.3701873, 35.416824
0, 33.910316, -10.303638, -4.556216, 35.002586
0, 33.920315, -9.721165, -3.8375769, 34.49544
0, 33.930313, -9.13046, -3.21669, 33.915054
0, 33.94031, -8.541562, -2.6920233, 33.279507
0, 33.95031, -7.9632564, -2.2590132, 32.60473
0, 33.960308, -7.402947, -1.9109763, 31.904257
